State,Year,Month,Average Temperature
Indiana,1840,October,22.453
Indiana,1840,November,22.486
Indiana,1840,December,23.461
Indiana,1860,January,-3.198
Indiana,1860,February,-2.044
Indiana,1860,March,-0.263
Indiana,1860,April,3.507
Indiana,1860,May,6.286
Indiana,1860,June,11.074
Indiana,1860,July,12.025
Indiana,1860,August,17.246
Indiana,1860,September,18.486
Indiana,1860,October,21.341
Indiana,1860,November,22.528
Indiana,1860,December,23.641
Indiana,1880,January,-4.715
Indiana,1880,February,-0.546
Indiana,1880,March,2.374
Indiana,1880,April,4.221
Indiana,1880,May,5.305
Indiana,1880,June,10.695
Indiana,1880,July,11.469
Indiana,1880,August,17.659
Indiana,1880,September,19.637
Indiana,1880,October,22.147
Indiana,1880,November,23.303
Indiana,1880,December,23.401
Indiana,1900,January,-3.825
Indiana,1900,February,-0.492
Indiana,1900,March,-0.293
Indiana,1900,April,1.232
Indiana,1900,May,5.185
Indiana,1900,June,10.782
Indiana,1900,July,15.986
Indiana,1900,August,17.711
Indiana,1900,September,20.783
Indiana,1900,October,21.203
Indiana,1900,November,23.606
Indiana,1900,December,25.482
Indiana,1920,January,-5.822
Indiana,1920,February,-2.121
Indiana,1920,March,0.261
Indiana,1920,April,4.548
Indiana,1920,May,5.204
Indiana,1920,June,7.711
Indiana,1920,July,15.068
Indiana,1920,August,15.483
Indiana,1920,September,19.961
Indiana,1920,October,21.24
Indiana,1920,November,21.552
Indiana,1920,December,22.358
Indiana,1940,January,-9.315
Indiana,1940,February,-0.92
Indiana,1940,March,2.268
Indiana,1940,April,2.498
Indiana,1940,May,4.396
Indiana,1940,June,8.94
Indiana,1940,July,14.108
Indiana,1940,August,14.655
Indiana,1940,September,18.012
Indiana,1940,October,21.999
Indiana,1940,November,23.646
Indiana,1940,December,24.009
Indiana,1960,January,-3.352
Indiana,1960,February,-2.885
Indiana,1960,March,-1.857
Indiana,1960,April,-0.637
Indiana,1960,May,6.407
Indiana,1960,June,12.75
Indiana,1960,July,12.837
Indiana,1960,August,15.226
Indiana,1960,September,20.79
Indiana,1960,October,21.143
Indiana,1960,November,22.657
Indiana,1960,December,23.622
Indiana,1980,January,-4.447
Indiana,1980,February,-2.021
Indiana,1980,March,-0.13
Indiana,1980,April,2.332
Indiana,1980,May,5.1
Indiana,1980,June,9.637
Indiana,1980,July,10.695
Indiana,1980,August,17.315
Indiana,1980,September,20.182
Indiana,1980,October,20.861
Indiana,1980,November,25.03
Indiana,1980,December,25.51
Indiana,2000,January,-6.72
Indiana,2000,February,-2.633
Indiana,2000,March,2.857
Indiana,2000,April,5.066
Indiana,2000,May,7.909
Indiana,2000,June,10.645
Indiana,2000,July,14.458
Indiana,2000,August,18.579
Indiana,2000,September,18.771
Indiana,2000,October,22.072
Indiana,2000,November,22.947
Indiana,2000,December,23.04
Iowa,1820,January,-12.314
Iowa,1820,December,-8.485
Iowa,1820,February,-4.389
Iowa,1820,March,-0.732
Iowa,1820,November,0.696
Iowa,1820,October,9.241
Iowa,1820,April,10.525
Iowa,1820,May,14.956
Iowa,1820,September,16.624
Iowa,1820,August,19.906
Iowa,1820,June,20.772
Iowa,1820,July,21.225
Iowa,1840,January,-8.804
Iowa,1840,December,-4.49
Iowa,1840,February,-3.134
Iowa,1840,November,1.011
Iowa,1840,March,2.483
Iowa,1840,October,8.257
Iowa,1840,April,9.814
Iowa,1840,September,14.941
Iowa,1840,May,16.946
Iowa,1840,August,20.659
Iowa,1840,June,21.789
Iowa,1840,July,22.483
Iowa,1860,January,-6.837
Iowa,1860,December,-6.708
Iowa,1860,February,-4
Iowa,1860,November,0.768
Iowa,1860,March,4.806
Iowa,1860,April,9.224
Iowa,1860,October,10.268
Iowa,1860,September,15.736
Iowa,1860,May,17.348
Iowa,1860,August,20.967
Iowa,1860,June,20.983
Iowa,1860,July,23.257
Iowa,1880,December,-8.996
Iowa,1880,November,-3.815
Iowa,1880,February,-2.601
Iowa,1880,January,-0.311
Iowa,1880,March,0.772
Iowa,1880,October,8.687
Iowa,1880,April,9.003
Iowa,1880,September,16.268
Iowa,1880,May,19.241
Iowa,1880,June,21.487
Iowa,1880,August,22.674
Iowa,1880,July,23.198
Iowa,1900,February,-9.72
Iowa,1900,January,-3.873
Iowa,1900,December,-3.232
Iowa,1900,March,-0.923
Iowa,1900,November,0.547
Iowa,1900,April,10.92
Iowa,1900,October,14.728
Iowa,1900,May,17.268
Iowa,1900,September,17.799
Iowa,1900,June,20.693
Iowa,1900,July,22.717
Iowa,1900,August,24.946
Iowa,1920,January,-9.052
Iowa,1920,February,-4.894
Iowa,1920,December,-3.628
Iowa,1920,November,1.437
Iowa,1920,March,2.887
Iowa,1920,April,5.316
Iowa,1920,October,13.877
Iowa,1920,May,14.935
Iowa,1920,September,18.875
Iowa,1920,August,20.517
Iowa,1920,June,21.207
Iowa,1920,July,22.183
Iowa,1940,January,-13.568
Iowa,1940,February,-4.764
Iowa,1940,December,-2.564
Iowa,1940,March,-0.587
Iowa,1940,November,0.431
Iowa,1940,April,8.107
Iowa,1940,October,13.87
Iowa,1940,May,14.42
Iowa,1940,September,18.62
Iowa,1940,August,21.285
Iowa,1940,June,21.583
Iowa,1940,July,24.676
Iowa,1960,February,-6.757
Iowa,1960,January,-6.642
